road_width(m),number_of_floor,number_of_bedroom,area(m2),address,price(vnd)
3m,2 lầu,2 phòng ngủ, 65 m2,"Đường Ông Ích Khiêm, Phường Tân Chính, Quận Hải Châu, Đà Nẵng",5 triệu 
2m,2 lầu,2 phòng ngủ, 80 m2,"Đường Hải Phòng, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng","8,5 triệu "
3m,3 lầu,5 phòng ngủ, 60 m2,"Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",13 triệu 
"2,5m",1 lầu,1 phòng ngủ, 30 m2,"Đường Hải Phòng, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng","3,7 triệu "
3m,4 lầu,5 phòng ngủ, 60 m2,"Đường Ngô Quyền, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng","6,5 triệu "
5m,1 lầu,3 phòng ngủ, 90 m2,"Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng","6,5 triệu "
3m,3 lầu,3 phòng ngủ, 40 m2,"Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",9 triệu 
4m,3 lầu,3 phòng ngủ, 70 m2,"Đường Ngô Thì Nhậm, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",8 triệu 
4m,2 lầu,3 phòng ngủ, 85 m2,"Đường An Trung Đông 1, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",7 triệu 
"2,5m",2 lầu,4 phòng ngủ, 50 m2,"Đường Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",9 triệu 
30m,2 lầu,2 phòng ngủ, 500 m2,"Đường Hùng Vương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng",120 triệu 
5m,1 lầu,3 phòng ngủ, 210 m2,"Đường Nguyễn Mộng Tuân, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",8 triệu 
2m,1 lầu,2 phòng ngủ, 65 m2,"Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng","4,5 triệu "
4m,2 lầu,2 phòng ngủ, 114 m2,"Đường Nguyễn Phong Sắc, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",8 triệu 
5m,2 lầu,1 phòng ngủ, 82 m2,"Đường Phạm Cự Lượng, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",8 triệu 
6m,0,2 phòng ngủ, 70 m2,"Đường Nguyễn Chánh, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng","2,8 triệu "
5m,3 lầu,3 phòng ngủ, 75 m2,"Đường Chế Lan Viên, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",17 triệu 
